model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
FLAN-T5,google/flan-t5-xl,FP16,anli,16,language_modeling,0,0,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,anli,16,average_language_modeling,0,0,100,0.3400
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,language_modeling,0,0,100,0.6500
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,average_language_modeling,0,0,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,language_modeling,0,0,100,0.5600
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,average_language_modeling,0,0,100,0.6100
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,language_modeling,0,0,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,average_language_modeling,0,0,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,language_modeling,0,0,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,average_language_modeling,0,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,language_modeling,0,0,100,0.4400
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,average_language_modeling,0,0,100,0.5100
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,language_modeling,0,0,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,average_language_modeling,0,0,100,0.4300
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,language_modeling,0,0,100,0.2200
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,average_language_modeling,0,0,100,0.2000
FLAN-T5,google/flan-t5-xl,FP16,anli,16,language_modeling,1,0,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,anli,16,average_language_modeling,1,0,100,0.3600
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,language_modeling,1,0,100,0.6700
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,average_language_modeling,1,0,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,language_modeling,1,0,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,average_language_modeling,1,0,100,0.6200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,language_modeling,1,0,100,0.5100
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,average_language_modeling,1,0,100,0.4800
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,language_modeling,1,0,100,0.3800
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,average_language_modeling,1,0,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,language_modeling,1,0,100,0.4500
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,average_language_modeling,1,0,100,0.5100
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,language_modeling,1,0,100,0.3700
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,average_language_modeling,1,0,100,0.3900
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,language_modeling,1,0,100,0.2600
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,average_language_modeling,1,0,100,0.1400
FLAN-T5,google/flan-t5-xl,FP16,anli,16,language_modeling,2,0,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,anli,16,average_language_modeling,2,0,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,language_modeling,2,0,100,0.5600
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,average_language_modeling,2,0,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,language_modeling,2,0,100,0.6300
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,average_language_modeling,2,0,100,0.6400
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,language_modeling,2,0,100,0.5100
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,average_language_modeling,2,0,100,0.4900
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,language_modeling,2,0,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,average_language_modeling,2,0,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,language_modeling,2,0,100,0.4600
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,average_language_modeling,2,0,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,language_modeling,2,0,100,0.3600
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,average_language_modeling,2,0,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,language_modeling,2,0,100,0.2400
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,average_language_modeling,2,0,100,0.1800
FLAN-T5,google/flan-t5-xl,FP16,anli,16,language_modeling,3,0,100,0.3500
FLAN-T5,google/flan-t5-xl,FP16,anli,16,average_language_modeling,3,0,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,language_modeling,3,0,100,0.7200
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,average_language_modeling,3,0,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,language_modeling,3,0,100,0.5700
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,average_language_modeling,3,0,100,0.6500
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,language_modeling,3,0,100,0.4500
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,average_language_modeling,3,0,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,language_modeling,3,0,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,average_language_modeling,3,0,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,language_modeling,3,0,100,0.4400
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,average_language_modeling,3,0,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,language_modeling,3,0,100,0.3900
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,average_language_modeling,3,0,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,language_modeling,3,0,100,0.2700
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,average_language_modeling,3,0,100,0.2800
FLAN-T5,google/flan-t5-xl,FP16,anli,16,language_modeling,4,0,100,0.3600
FLAN-T5,google/flan-t5-xl,FP16,anli,16,average_language_modeling,4,0,100,0.3700
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,language_modeling,4,0,100,0.6200
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,average_language_modeling,4,0,100,0.5600
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,language_modeling,4,0,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,average_language_modeling,4,0,100,0.6100
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,language_modeling,4,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,average_language_modeling,4,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,language_modeling,4,0,100,0.5100
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,average_language_modeling,4,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,language_modeling,4,0,100,0.4500
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,average_language_modeling,4,0,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,language_modeling,4,0,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,average_language_modeling,4,0,100,0.3900
