model_family,checkpoint,loading_precision,dataset,batch_size,method,scoring_method,prompting_method,mask_strategy,seed,n_shot,sample,mask_accuracy,accuracy
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_five_objects,16,multiple_choice_prompt,,,,0,0,100,,0.4000
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_five_objects,16,process_of_elimination(mcp),,,,0,0,100,,0.3800
gpt-3.5-turbo-0301,flan-t5-xl,,conceptual_combinations,16,multiple_choice_prompt,,,,0,0,100,,0.7400
gpt-3.5-turbo-0301,flan-t5-xl,,conceptual_combinations,16,process_of_elimination(mcp),,,,0,0,100,,0.5000
gpt-3.5-turbo-0301,flan-t5-xl,,strange_stories,16,multiple_choice_prompt,,,,0,0,100,,0.8300
gpt-3.5-turbo-0301,flan-t5-xl,,strange_stories,16,process_of_elimination(mcp),,,,0,0,100,,0.7600
gpt-3.5-turbo-0301,flan-t5-xl,,symbol_interpretation,16,multiple_choice_prompt,,,,0,0,100,,0.1100
gpt-3.5-turbo-0301,flan-t5-xl,,symbol_interpretation,16,process_of_elimination(mcp),,,,0,0,100,,0.1500
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_five_objects,16,multiple_choice_prompt,,,,1,0,100,,0.4000
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_five_objects,16,process_of_elimination(mcp),,,,1,0,100,,0.3800
gpt-3.5-turbo-0301,flan-t5-xl,,conceptual_combinations,16,multiple_choice_prompt,,,,1,0,100,,0.7600
gpt-3.5-turbo-0301,flan-t5-xl,,conceptual_combinations,16,process_of_elimination(mcp),,,,1,0,100,,0.5200
gpt-3.5-turbo-0301,flan-t5-xl,,strange_stories,16,multiple_choice_prompt,,,,1,0,100,,0.8000
gpt-3.5-turbo-0301,flan-t5-xl,,strange_stories,16,process_of_elimination(mcp),,,,1,0,100,,0.7200
gpt-3.5-turbo-0301,flan-t5-xl,,symbol_interpretation,16,multiple_choice_prompt,,,,1,0,100,,0.1600
gpt-3.5-turbo-0301,flan-t5-xl,,symbol_interpretation,16,process_of_elimination(mcp),,,,1,0,100,,0.1600
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_five_objects,16,multiple_choice_prompt,,,,2,0,100,,0.4700
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_five_objects,16,process_of_elimination(mcp),,,,2,0,100,,0.4400
gpt-3.5-turbo-0301,flan-t5-xl,,conceptual_combinations,16,multiple_choice_prompt,,,,2,0,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,conceptual_combinations,16,process_of_elimination(mcp),,,,2,0,100,,0.5200
gpt-3.5-turbo-0301,flan-t5-xl,,strange_stories,16,multiple_choice_prompt,,,,2,0,100,,0.8100
gpt-3.5-turbo-0301,flan-t5-xl,,strange_stories,16,process_of_elimination(mcp),,,,2,0,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,symbol_interpretation,16,multiple_choice_prompt,,,,2,0,100,,0.1100
gpt-3.5-turbo-0301,flan-t5-xl,,symbol_interpretation,16,process_of_elimination(mcp),,,,2,0,100,,0.1700
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_five_objects,16,multiple_choice_prompt,,,,3,0,100,,0.3800
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_five_objects,16,process_of_elimination(mcp),,,,3,0,100,,0.3900
gpt-3.5-turbo-0301,flan-t5-xl,,conceptual_combinations,16,multiple_choice_prompt,,,,3,0,100,,0.7300
gpt-3.5-turbo-0301,flan-t5-xl,,conceptual_combinations,16,process_of_elimination(mcp),,,,3,0,100,,0.5200
gpt-3.5-turbo-0301,flan-t5-xl,,strange_stories,16,multiple_choice_prompt,,,,3,0,100,,0.8200
gpt-3.5-turbo-0301,flan-t5-xl,,strange_stories,16,process_of_elimination(mcp),,,,3,0,100,,0.7400
gpt-3.5-turbo-0301,flan-t5-xl,,symbol_interpretation,16,multiple_choice_prompt,,,,3,0,100,,0.1200
gpt-3.5-turbo-0301,flan-t5-xl,,symbol_interpretation,16,process_of_elimination(mcp),,,,3,0,100,,0.1800
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_five_objects,16,multiple_choice_prompt,,,,4,0,100,,0.4700
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_five_objects,16,process_of_elimination(mcp),,,,4,0,100,,0.4900
gpt-3.5-turbo-0301,flan-t5-xl,,conceptual_combinations,16,multiple_choice_prompt,,,,4,0,100,,0.7400
gpt-3.5-turbo-0301,flan-t5-xl,,conceptual_combinations,16,process_of_elimination(mcp),,,,4,0,100,,0.5200
gpt-3.5-turbo-0301,flan-t5-xl,,strange_stories,16,multiple_choice_prompt,,,,4,0,100,,0.8100
gpt-3.5-turbo-0301,flan-t5-xl,,strange_stories,16,process_of_elimination(mcp),,,,4,0,100,,0.7200
gpt-3.5-turbo-0301,flan-t5-xl,,symbol_interpretation,16,multiple_choice_prompt,,,,4,0,100,,0.1200
gpt-3.5-turbo-0301,flan-t5-xl,,symbol_interpretation,16,process_of_elimination(mcp),,,,4,0,100,,0.1500
