model_family,checkpoint,loading_precision,dataset,batch_size,method,scoring_method,prompting_method,mask_strategy,seed,n_shot,sample,mask_accuracy,accuracy
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,0,0,100,,0.7200
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,0,3,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,0,0,100,,0.7200
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,0,3,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,0,0,100,,0.6300
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,0,3,100,,0.4600
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,0,0,100,,0.5800
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,0,3,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,1,0,100,,0.7100
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,1,3,100,,0.7300
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,1,0,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,1,3,100,,0.8600
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,1,0,100,,0.6300
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,1,3,100,,0.6200
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,1,0,100,,0.5700
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,1,3,100,,0.6900
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,2,0,100,,0.7400
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,2,3,100,,0.8200
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,2,0,100,,0.7600
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,2,3,100,,0.8200
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,2,0,100,,0.6500
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,2,3,100,,0.5700
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,2,0,100,,0.6000
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,2,3,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,3,0,100,,0.7400
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,3,3,100,,0.7900
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,3,0,100,,0.7400
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,3,3,100,,0.7400
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,3,0,100,,0.6400
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,3,3,100,,0.7400
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,3,0,100,,0.6400
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,3,3,100,,0.8600
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,4,0,100,,0.7000
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,4,3,100,,0.7200
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,4,0,100,,0.6400
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,4,3,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,4,0,100,,0.5400
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,4,3,100,,0.5400
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,4,0,100,,0.5500
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,4,3,100,,0.6300
