dataset,mask_strategy,accuracy
anli,below_average,0.55
anli,lowest,0.556
anli,min_k_2,0.578
conceptual_combinations,below_average,0.722
conceptual_combinations,lowest,0.76
conceptual_combinations,min_k_2,0.742
conceptual_combinations,min_k_3,0.604
cqa,below_average,0.892
cqa,lowest,0.895
cqa,min_k_2,0.884
cqa,min_k_3,0.886
cqa,min_k_4,0.872
disambiguation_qa,below_average,0.674
disambiguation_qa,lowest,0.678
disambiguation_qa,min_k_2,0.678
logical_deduction_five_objects,below_average,0.536
logical_deduction_five_objects,lowest,0.56
logical_deduction_five_objects,min_k_2,0.526
logical_deduction_five_objects,min_k_3,0.512
logical_deduction_five_objects,min_k_4,0.398
siqa,below_average,0.82
siqa,lowest,0.817
siqa,min_k_2,0.79
strange_stories,below_average,0.766
strange_stories,lowest,0.756
strange_stories,min_k_2,0.766
strange_stories,min_k_3,0.74
symbol_interpretation,below_average,0.252
symbol_interpretation,lowest,0.236
symbol_interpretation,min_k_2,0.244
symbol_interpretation,min_k_3,0.274
symbol_interpretation,min_k_4,0.254
