model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,sample,accuracy
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,multiple_choice_prompt,0,,0.8714
FLAN-T5,google/flan-t5-xl,FP16,copa,16,multiple_choice_prompt,0,,0.9480
FLAN-T5,google/flan-t5-xl,FP16,obqa,16,multiple_choice_prompt,0,,0.7740
FLAN-T5,google/flan-t5-xl,FP16,piqa,16,multiple_choice_prompt,0,,0.8156
FLAN-T5,google/flan-t5-xl,FP16,qasc,16,multiple_choice_prompt,0,,0.7387
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,multiple_choice_prompt,0,,0.7707
FLAN-T5,google/flan-t5-xl,FP16,winogrande,16,multiple_choice_prompt,0,,0.7916
OPT-IML,facebook/opt-iml-1.3b,FP16,cqa,16,multiple_choice_prompt,0,,0.2121
OPT-IML,facebook/opt-iml-1.3b,FP16,copa,16,multiple_choice_prompt,0,,0.5200
OPT-IML,facebook/opt-iml-1.3b,FP16,obqa,16,multiple_choice_prompt,0,,0.2580
OPT-IML,facebook/opt-iml-1.3b,FP16,piqa,16,multiple_choice_prompt,0,,0.5109
OPT-IML,facebook/opt-iml-1.3b,FP16,qasc,16,multiple_choice_prompt,0,,0.1123
OPT-IML,facebook/opt-iml-1.3b,FP16,siqa,16,multiple_choice_prompt,0,,0.3229
OPT-IML,facebook/opt-iml-1.3b,FP16,winogrande,16,multiple_choice_prompt,0,,0.5043
OPT-IML,facebook/opt-iml-max-1.3b,FP16,cqa,16,multiple_choice_prompt,0,,0.2023
OPT-IML,facebook/opt-iml-max-1.3b,FP16,copa,16,multiple_choice_prompt,0,,0.5180
OPT-IML,facebook/opt-iml-max-1.3b,FP16,obqa,16,multiple_choice_prompt,0,,0.2560
OPT-IML,facebook/opt-iml-max-1.3b,FP16,piqa,16,multiple_choice_prompt,0,,0.4962
OPT-IML,facebook/opt-iml-max-1.3b,FP16,qasc,16,multiple_choice_prompt,0,,0.1242
OPT-IML,facebook/opt-iml-max-1.3b,FP16,siqa,16,multiple_choice_prompt,0,,0.3388
OPT-IML,facebook/opt-iml-max-1.3b,FP16,winogrande,16,multiple_choice_prompt,0,,0.5107
FLAN-T5,google/flan-t5-small,FP16,emoji_movie,16,multiple_choice_prompt,0,,0.3300
